SquareFeet,PropertyType,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Floors,Garage,Price
2094,Independent House,2,2.0,Suburban,1951,2,0,16749000.0
124859,Agricultural Land,0,0.0,Downtown,1950,0,0,17654000.0
4890,Villa,5,1.5,Suburban,1965,2,1,41235000.0
2797,Independent House,3,4.0,Suburban,1963,2,1,21798000.0
683,Apartment,2,1.0,Downtown,1966,2,1,9085000.0
1778,Apartment,3,1.5,Rural,2009,3,1,12270000.0
1164,Apartment,3,3.0,Suburban,2019,2,0,10696000.0
27139,Agricultural Land,0,0.0,Downtown,1950,0,0,7048000.0
2615,Villa,3,1.0,Rural,1966,1,0,23191000.0
4494,Villa,3,3.0,Downtown,1994,2,1,40044000.0
1042,Apartment,3,2.5,Suburban,1987,1,0,9545000.0
150972,Agricultural Land,0,0.0,Suburban,1950,0,0,18900000.0
1642,Penthouse,3,1.0,Downtown,2013,1,1,19407000.0
791,Apartment,2,2.0,Suburban,1955,1,1,7956000.0
977,Apartment,2,2.5,Suburban,2009,1,1,9214000.0
1180,Apartment,1,2.0,Suburban,1998,2,1,10326000.0
1134,Apartment,1,3.5,Downtown,1970,2,1,11151000.0
2716,Independent House,2,3.0,Downtown,1972,2,1,22256000.0
2032,Independent House,3,1.5,Downtown,2025,2,0,19127000.0
692,Apartment,1,1.0,Rural,2006,2,1,5956000.0
3789,Villa,5,3.5,Downtown,2013,3,1,36465000.0
1128,Apartment,1,2.0,Suburban,1978,1,1,8717000.0
1777,Apartment,3,1.0,Rural,1976,1,1,10978000.0
1404,Independent House,2,3.0,Suburban,1955,3,0,13700000.0
2172,Independent House,2,3.0,Rural,1970,3,0,16812000.0
2388,Penthouse,4,2.5,Rural,2020,2,1,21232000.0
1021,Apartment,2,2.0,Suburban,1990,2,1,9529000.0
2641,Independent House,4,2.5,Suburban,1954,1,0,20805000.0
1471,Independent House,4,2.5,Downtown,1964,2,1,15893000.0
1492,Apartment,3,3.0,Downtown,1970,1,1,12996000.0
2346,Villa,4,3.5,Suburban,2007,2,1,24730000.0
1230,Apartment,3,2.0,Downtown,1953,2,0,11211000.0
1637,Apartment,2,2.5,Suburban,2018,1,1,12226000.0
154277,Agricultural Land,0,0.0,Downtown,1950,0,0,21355000.0
49038,Agricultural Land,0,0.0,Downtown,1950,0,0,9759000.0
1618,Penthouse,3,4.0,Suburban,1956,3,1,18239000.0
1145,Apartment,1,1.5,Downtown,1984,3,1,10720000.0
1792,Apartment,3,1.0,Suburban,1985,2,1,12890000.0
4369,Villa,3,3.0,Rural,1964,3,1,36184000.0
1633,Independent House,2,1.5,Suburban,1951,2,1,14545000.0
1562,Apartment,3,1.0,Suburban,2006,3,1,12880000.0
1882,Independent House,2,1.5,Rural,1954,3,0,13914000.0
1379,Apartment,3,2.0,Downtown,2020,1,0,12933000.0
20694,Agricultural Land,0,0.0,Suburban,1950,0,0,4345000.0
1537,Apartment,3,1.5,Downtown,1981,3,0,13034000.0
3220,Villa,3,1.5,Downtown,2021,2,1,31570000.0
1465,Apartment,1,4.0,Rural,1990,1,1,9753000.0
3153,Independent House,2,2.5,Suburban,1991,3,0,23054000.0
2108,Independent House,2,2.5,Rural,2024,1,1,16195000.0
